consumer,budget,rows,mean_sessions,mean_tool_calls,mean_recovery_seconds
claude,0,46,0.0,0.0,0.0
claude,1,138,0.6521739130434783,1.8478260869565217,37.715016273484714
claude,3,138,0.7246376811594203,3.8043478260869565,72.04500572405
claude,6,138,0.7536231884057971,3.9130434782608696,74.87468009064163
claude,10,138,0.6521739130434783,1.4710144927536233,24.288975534231767
codex,0,46,0.0,0.0,0.0
codex,1,138,0.6521739130434783,6.746376811594203,130.62772425188535
codex,3,138,1.5579710144927537,17.608695652173914,262.44728803461874
codex,6,138,2.347826086956522,27.92753623188406,412.8352690866028
codex,10,138,2.4420289855072466,29.579710144927535,404.2918139782505
