agent,budget,metric,n_paired_arms,estimate,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,historical_mean,candidate_mean,direction
codex,0,replay_failure,46,0.2608695652173913,0.0,0.5454545454545454,0.391304347826087,0.6521739130434783,candidate_minus_historical
codex,0,recovery_sessions,46,0.0,0.0,0.0,0.0,0.0,candidate_minus_historical
codex,0,recovery_tool_calls,46,0.0,0.0,0.0,0.0,0.0,candidate_minus_historical
codex,0,recovery_agent_seconds,46,0.0,0.0,0.0,0.0,0.0,candidate_minus_historical
codex,1,replay_failure,46,0.24637681159420288,0.06944444444444443,0.44927536231884047,0.2608695652173913,0.5072463768115942,candidate_minus_historical
codex,1,recovery_sessions,46,0.2608695652173913,0.0,0.5454545454545454,0.391304347826087,0.6521739130434783,candidate_minus_historical
codex,1,recovery_tool_calls,46,3.108695652173913,0.5289855072463768,5.9275362318840585,3.6376811594202905,6.746376811594202,candidate_minus_historical
codex,1,recovery_agent_seconds,46,75.78209654662919,26.633335412412453,130.48584297083426,54.84562770525614,130.62772425188535,candidate_minus_historical
codex,3,replay_failure,46,0.2463768115942029,0.023809523809523808,0.5208333333333334,0.043478260869565216,0.2898550724637681,candidate_minus_historical
codex,3,recovery_sessions,46,0.6884057971014492,0.1875,1.2463768115942029,0.8695652173913045,1.5579710144927537,candidate_minus_historical
codex,3,recovery_tool_calls,46,9.623188405797102,2.1956521739130435,18.07246376811594,7.985507246376812,17.608695652173914,candidate_minus_historical
codex,3,recovery_agent_seconds,46,143.57219643350965,31.776395493083527,270.3024874960167,118.87509160110918,262.44728803461874,candidate_minus_historical
codex,6,replay_failure,46,0.06521739130434782,0.0,0.1590909090909091,0.0,0.06521739130434782,candidate_minus_historical
codex,6,recovery_sessions,46,1.5507246376811594,0.4848484848484849,2.7083333333333335,0.7971014492753624,2.347826086956522,candidate_minus_historical
codex,6,recovery_tool_calls,46,20.55072463768116,6.618055555555557,36.32638888888889,7.3768115942028984,27.927536231884055,candidate_minus_historical
codex,6,recovery_agent_seconds,46,310.51197776068807,99.65077150199147,551.7450932523478,102.3232913259147,412.835269086603,candidate_minus_historical
codex,10,replay_failure,45,0.0,0.0,0.0,0.0,0.0,candidate_minus_historical
codex,10,recovery_sessions,45,1.5592592592592593,0.3992248062015503,2.8680555555555554,0.8985507246376813,2.4777777777777783,candidate_minus_historical
codex,10,recovery_tool_calls,45,19.796296296296294,5.190476190476191,37.25757575757575,9.594202898550725,29.603703703703705,candidate_minus_historical
codex,10,recovery_agent_seconds,45,305.81187031798896,69.28836524486543,599.9673495919617,123.88822569708893,432.45316769723536,candidate_minus_historical
claude,0,replay_failure,46,0.2608695652173913,0.0,0.5454545454545454,0.391304347826087,0.6521739130434783,candidate_minus_historical
claude,0,recovery_sessions,46,0.0,0.0,0.0,0.0,0.0,candidate_minus_historical
claude,0,recovery_tool_calls,46,0.0,0.0,0.0,0.0,0.0,candidate_minus_historical
claude,0,recovery_agent_seconds,46,0.0,0.0,0.0,0.0,0.0,candidate_minus_historical
claude,1,replay_failure,46,0.18840579710144925,0.0,0.43478260869565216,0.33333333333333337,0.5217391304347826,candidate_minus_historical
claude,1,recovery_sessions,46,0.2608695652173913,0.0,0.5454545454545454,0.391304347826087,0.6521739130434783,candidate_minus_historical
claude,1,recovery_tool_calls,46,-5.195652173913045,-10.810606060606059,0.26086956521739163,7.043478260869565,1.847826086956522,candidate_minus_historical
claude,1,recovery_agent_seconds,46,-60.97420244804327,-136.00934533278146,13.628386281538694,98.68921872152796,37.715016273484714,candidate_minus_historical
claude,3,replay_failure,46,0.4710144927536231,0.18115942028985504,0.7727272727272727,0.028985507246376815,0.5,candidate_minus_historical
claude,3,recovery_sessions,46,-0.27536231884057966,-0.8181818181818182,0.2608695652173913,0.9999999999999999,0.7246376811594203,candidate_minus_historical
claude,3,recovery_tool_calls,46,-14.471014492753625,-26.695652173913043,-2.2463768115942027,18.27536231884058,3.804347826086957,candidate_minus_historical
claude,3,recovery_agent_seconds,46,-167.36815469679624,-303.9873895943165,-26.427273919616926,239.41316042084628,72.04500572404999,candidate_minus_historical
claude,6,replay_failure,46,0.4927536231884058,0.1884057971014493,0.8030303030303031,0.0,0.4927536231884058,candidate_minus_historical
claude,6,recovery_sessions,46,-0.24637681159420288,-0.7348484848484848,0.25,1.0,0.7536231884057972,candidate_minus_historical
claude,6,recovery_tool_calls,46,-14.115942028985506,-24.780303030303028,-2.506944444444444,18.02898550724638,3.91304347826087,candidate_minus_historical
claude,6,recovery_agent_seconds,46,-140.8444970898006,-259.24415141430455,-10.973286281029383,215.71917718044227,74.8746800906416,candidate_minus_historical
claude,10,replay_failure,45,0.0,0.0,0.0,0.0,0.0,candidate_minus_historical
claude,10,recovery_sessions,45,1.3925925925925926,0.3181818181818182,2.651515151515152,1.0,2.414814814814815,candidate_minus_historical
claude,10,recovery_tool_calls,45,29.2037037037037,5.570921985815603,57.4645390070922,18.6231884057971,48.24074074074075,candidate_minus_historical
claude,10,recovery_agent_seconds,45,412.1975609311351,89.53196517626445,824.6053974529108,221.93406502751338,639.0634940703709,candidate_minus_historical
